annotation,count
ribonuclease P protein component,16776
CocE/NonD family hydrolase,16758
MULTISPECIES: 50S ribosomal protein L34,16744
twin-arginine translocase subunit TatC,16743
DNA-3-methyladenine glycosylase I,16742
Ppx/GppA phosphatase family protein,16729
bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,16727
aminotransferase-like domain-containing protein,16712
transcription antitermination factor NusB,16704
4Fe-4S binding protein,16665
undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,16644
MULTISPECIES: HAD family hydrolase,16642
nucleoside hydrolase,16616
RHS repeat-associated core domain-containing protein,16616
glutamate 5-kinase,16602
phosphate ABC transporter ATP-binding protein PstB,16598
A/G-specific adenine glycosylase,16592
transcription termination factor NusA,16590
PspC domain-containing protein,16588
adenosine deaminase,16573
formylglycine-generating enzyme family protein,16559
DNA replication/repair protein RecF,16546
sugar kinase,16543
tRNA dihydrouridine synthase DusB,16538
translational GTPase TypA,16530
F0F1 ATP synthase subunit beta,16528
5-(carboxyamino)imidazole ribonucleotide mutase,16512
phospholipase D-like domain-containing protein,16512
type II 3-dehydroquinate dehydratase,16491
class II aldolase/adducin family protein,16484
P-II family nitrogen regulator,16479
"glutamate-1-semialdehyde 2,1-aminomutase",16478
4-hydroxy-3-methylbut-2-enyl diphosphate reductase,16476
bifunctional riboflavin kinase/FAD synthetase,16476
argininosuccinate synthase,16443
RNA-binding S4 domain-containing protein,16438
dUTP diphosphatase,16431
recombinase RecA,16427
imidazole glycerol phosphate synthase subunit HisF,16412
oxygenase MpaB family protein,16401
beta-ketoacyl-,16386
YifB family Mg chelatase-like AAA ATPase,16385
glycine cleavage system aminomethyltransferase GcvT,16357
transcription termination factor Rho,16349
site-2 protease family protein,16348
3-methyl-2-oxobutanoate hydroxymethyltransferase,16336
5-(carboxyamino)imidazole ribonucleotide synthase,16319
M48 family metalloprotease,16316
endonuclease III,16299
tyrosine-protein phosphatase,16286
arylsulfatase,16256
glycerophosphodiester phosphodiesterase family protein,16231
SRPBCC domain-containing protein,16222
pantoate--beta-alanine ligase,16210
ComEC/Rec2 family competence protein,16208
DNA polymerase III subunit gamma/tau,16176
riboflavin synthase,16162
family 43 glycosylhydrolase,16130
PfkB family carbohydrate kinase,16125
YraN family protein,16119
shikimate kinase,16111
1-deoxy-D-xylulose-5-phosphate reductoisomerase,16088
PHP domain-containing protein,16082
"6,7-dimethyl-8-ribityllumazine synthase",16063
glycoside hydrolase family 3 N-terminal domain-containing protein,16047
acetylglutamate kinase,16040
aminopeptidase P family protein,16036
molybdate ABC transporter substrate-binding protein,16032
GlsB/YeaQ/YmgE family stress response membrane protein,16030
xylulokinase,16025
class II fumarate hydratase,16009
magnesium transporter,16004
DUF885 domain-containing protein,16001
preprotein translocase subunit SecY,15964
MULTISPECIES: 30S ribosomal protein S12,15932
glycoside hydrolase family 3 protein,15904
Nif3-like dinuclear metal center hexameric protein,15900
sulfotransferase family protein,15889
thioesterase family protein,15883
sigma 54-interacting transcriptional regulator,15875
MULTISPECIES: 30S ribosomal protein S18,15864
homoserine dehydrogenase,15863
GTPase HflX,15825
uroporphyrinogen decarboxylase,15820
cytidine deaminase,15812
MULTISPECIES: methyl-accepting chemotaxis protein,15810
TerD family protein,15809
type II toxin-antitoxin system PemK/MazF family toxin,15804
phosphate ABC transporter permease subunit PstC,15783
bifunctional metallophosphatase/5'-nucleotidase,15782
transcription elongation factor GreA,15779
quinone oxidoreductase family protein,15759
sugar ABC transporter permease,15748
DivIVA domain-containing protein,15735
glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,15711
asparagine synthase (glutamine-hydrolyzing),15676
Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,15670
single-stranded-DNA-specific exonuclease RecJ,15666
beta-galactosidase,15659
ABC1 kinase family protein,15656
ATP phosphoribosyltransferase,15643
lipoyl synthase,15638
MarR family transcriptional regulator,15630
prephenate dehydratase,15627
50S ribosomal protein L9,15617
XdhC family protein,15611
bifunctional diguanylate cyclase/phosphodiesterase,15604
bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,15594
citrate synthase,15587
transglutaminase-like domain-containing protein,15586
protein translocase subunit SecD,15563
recombination mediator RecR,15563
PIG-L deacetylase family protein,15563
alanine dehydrogenase,15562
cytochrome c oxidase subunit II,15559
preprotein translocase subunit YajC,15545
phage portal protein,15545
ECF transporter S component,15534
30S ribosomal protein S2,15520
BON domain-containing protein,15517
alpha-L-fucosidase,15514
ribosome recycling factor,15511
diguanylate cyclase domain-containing protein,15510
phosphoribosylformylglycinamidine cyclo-ligase,15506
ATP-dependent Clp protease ATP-binding subunit,15502
MetQ/NlpA family ABC transporter substrate-binding protein,15498
apolipoprotein N-acyltransferase,15496
siderophore-interacting protein,15495
saccharopine dehydrogenase family protein,15491
indole-3-glycerol phosphate synthase TrpC,15475
CoA transferase subunit A,15471
Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,15460
chloride channel protein,15449
YdeI/OmpD-associated family protein,15445
MlaE family ABC transporter permease,15436
WhiB family transcriptional regulator,15432
MULTISPECIES: 50S ribosomal protein L14,15426
elongation factor Tu,15411
16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,15410
cryptochrome/photolyase family protein,15403
crossover junction endodeoxyribonuclease RuvC,15391
chorismate mutase,15378
SMC-Scp complex subunit ScpB,15353
MULTISPECIES: efflux RND transporter periplasmic adaptor subunit,15350
transglutaminase family protein,15330
23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,15324
transcription termination/antitermination protein NusG,15317
bile acid:sodium symporter family protein,15306
30S ribosome-binding factor RbfA,15298
isoprenyl transferase,15277
RNA polymerase sigma-70 factor,15268
DUF72 domain-containing protein,15259
deoxyribose-phosphate aldolase,15243
bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,15242
UMP kinase,15232
DNA mismatch repair protein MutS,15229
MULTISPECIES: universal stress protein,15221
DNA mismatch repair endonuclease MutL,15212
UDP-glucose dehydrogenase family protein,15199
tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,15188
30S ribosomal protein S1,15184
SIMPL domain-containing protein,15183
homoserine kinase,15183
glycine cleavage system protein GcvH,15181
elongation factor P,15169
cytochrome c oxidase assembly protein,15166
50S ribosomal protein L6,15165
branched-chain amino acid aminotransferase,15154
3-keto-disaccharide hydrolase,15152
tRNA guanosine(34) transglycosylase Tgt,15143
carboxylating nicotinate-nucleotide diphosphorylase,15132
50S ribosomal protein L1,15131
N-acetylglucosamine-6-phosphate deacetylase,15112
AbrB/MazE/SpoVT family DNA-binding domain-containing protein,15106
CHAT domain-containing protein,15094
fatty acid desaturase family protein,15092
esterase/lipase family protein,15075
AzlC family ABC transporter permease,15074
HPr family phosphocarrier protein,15073
heme o synthase,15072
ribosome silencing factor,15043
MULTISPECIES: glycosyltransferase,15021
PRC-barrel domain-containing protein,15019
restriction endonuclease,15014
XRE family transcriptional regulator,15004
M28 family peptidase,14999
50S ribosomal protein L11 methyltransferase,14990
thymidylate synthase,14986
glycoside hydrolase family 15 protein,14960
tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,14948
molybdopterin molybdotransferase MoeA,14948
lipoyl(octanoyl) transferase LipB,14936
thioredoxin domain-containing protein,14930
cytochrome c oxidase subunit I,14917
preprotein translocase subunit SecG,14916
lysylphosphatidylglycerol synthase transmembrane domain-containing protein,14913
J domain-containing protein,14912
6-phosphofructokinase,14912
"ribosome hibernation-promoting factor, HPF/YfiA family",14902
translation initiation factor IF-3,14894
CoA-acylating methylmalonate-semialdehyde dehydrogenase,14887
glucose-1-phosphate thymidylyltransferase RfbA,14886
CCA tRNA nucleotidyltransferase,14835
DUF1801 domain-containing protein,14826
GTP cyclohydrolase I FolE,14824
YceD family protein,14818
pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,14817
glutamate synthase large subunit,14805
four helix bundle protein,14744
SsrA-binding protein SmpB,14741
50S ribosomal protein L10,14729
GTPase ObgE,14729
MULTISPECIES: 30S ribosomal protein S11,14720
MULTISPECIES: 30S ribosomal protein S19,14699
SOS response-associated peptidase,14677
ketol-acid reductoisomerase,14664
Rieske (2Fe-2S) protein,14662
RsmB/NOP family class I SAM-dependent RNA methyltransferase,14660
aminopeptidase N,14647
MULTISPECIES: acyl-CoA thioesterase,14647
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,14642
hydroxymethylglutaryl-CoA lyase,14629
phosphate signaling complex protein PhoU,14628
enoyl-ACP reductase FabI,14608
MULTISPECIES: RidA family protein,14606
NADH-quinone oxidoreductase subunit L,14599
cytochrome c oxidase subunit 3,14593
GH92 family glycosyl hydrolase,14590
CsbD family protein,14583
50S ribosomal protein L4,14580
tRNA (guanosine(46)-N7)-methyltransferase TrmB,14566
F0F1 ATP synthase subunit B,14565
DHH family phosphoesterase,14565
MULTISPECIES: nuclear transport factor 2 family protein,14565
Hsp70 family protein,14559
glutaredoxin family protein,14555
spore germination protein,14525
PKD domain-containing protein,14483
leucine-rich repeat domain-containing protein,14468
dihydroneopterin aldolase,14468
leucyl aminopeptidase,14453
thermonuclease family protein,14447
succinate--CoA ligase subunit alpha,14445
NAD(P)H-hydrate dehydratase,14440
type I glutamate--ammonia ligase,14434
exodeoxyribonuclease VII small subunit,14405
MULTISPECIES: aldo/keto reductase,14403
zinc-dependent metalloprotease,14396
D-aminoacyl-tRNA deacylase,14382
WD40/YVTN/BNR-like repeat-containing protein,14377
LTA synthase family protein,14367
non-hydrolyzing UDP-N-acetylglucosamine 2-epimerase,14363
MgtC/SapB family protein,14359
YybH family protein,14359
Nramp family divalent metal transporter,14348
polysaccharide biosynthesis protein,14348
ribokinase,14344
oligosaccharide flippase family protein,14339
BTAD domain-containing putative transcriptional regulator,14334
prepilin-type N-terminal cleavage/methylation domain-containing protein,14330
DUF305 domain-containing protein,14327
fibronectin type III domain-containing protein,14316
thiamine-phosphate kinase,14297
ADP-forming succinate--CoA ligase subunit beta,14295
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,14286
L-aspartate oxidase,14283
TlpA disulfide reductase family protein,14264
DNA helicase RecQ,14263
SusD/RagB family nutrient-binding outer membrane lipoprotein,14261
TVP38/TMEM64 family protein,14234
type II secretion system protein,14234
DNA polymerase III subunit delta',14227
50S ribosomal protein L15,14224
quinone-dependent dihydroorotate dehydrogenase,14223
glycoside hydrolase family 2 protein,14214
adenosylhomocysteinase,14212
50S ribosomal protein L3,14194
amino acid ABC transporter substrate-binding protein,14186
acetyl-CoA carboxylase biotin carboxyl carrier protein,14185
anti-sigma factor family protein,14183
rod shape-determining protein MreC,14181
30S ribosomal protein S4,14163
MULTISPECIES: 50S ribosomal protein L36,14154
trans-sulfuration enzyme family protein,14150
YncE family protein,14148
DsbA family oxidoreductase,14137
CobW family GTP-binding protein,14137
acetyl-CoA C-acyltransferase,14130
MULTISPECIES: 50S ribosomal protein L32,14127
MULTISPECIES: winged helix-turn-helix transcriptional regulator,14125
nucleoside-diphosphate kinase,14118
YkgJ family cysteine cluster protein,14111
DUF421 domain-containing protein,14098
tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,14064
RNA-guided endonuclease InsQ/TnpB family protein,14064
4-hydroxythreonine-4-phosphate dehydrogenase PdxA,14058
MULTISPECIES: IclR family transcriptional regulator,14051
WD40 repeat domain-containing protein,14043
NADH-quinone oxidoreductase subunit C,14036
fluoride efflux transporter CrcB,14028
glycoside hydrolase family 2 TIM barrel-domain containing protein,14024
tripartite tricarboxylate transporter substrate binding protein,13999
penicillin acylase family protein,13988
MULTISPECIES: ATP-binding cassette domain-containing protein,13981
3-deoxy-7-phosphoheptulonate synthase,13980
ester cyclase,13967
thiamine pyrophosphate-dependent enzyme,13953
Dps family protein,13949
glutamyl-tRNA reductase,13948
preprotein translocase subunit SecE,13941
malate dehydrogenase,13925
3-oxoacyl-ACP reductase FabG,13921
uracil phosphoribosyltransferase,13909
Tex family protein,13889
bifunctional folylpolyglutamate synthase/dihydrofolate synthase,13868
cation-translocating P-type ATPase,13860
MULTISPECIES: Crp/Fnr family transcriptional regulator,13858
site-specific tyrosine recombinase XerD,13849
dihydrofolate reductase,13838
aspartate carbamoyltransferase catalytic subunit,13827
flavin monoamine oxidase family protein,13799
HDOD domain-containing protein,13788
DNA alkylation repair protein,13785
glycogen debranching protein GlgX,13776
primosomal protein N',13748
nicotinate-nucleotide adenylyltransferase,13743
RadC family protein,13738
penicillin-binding transpeptidase domain-containing protein,13736
chromosome segregation protein SMC,13719
